Project,URL
Animate.css,https://github.com/animate-css/animate.css
Animus,https://github.com/SplittyDev/Animus
Brut RB, https://brutrb.com
cachish,https://github.com/thusoy/cachish
censusdis,https://github.com/vengroff/censusdis
DCAN,https://github.com/DecentralizedCAN/CAN
DimeNet,https://github.com/klicperajo/dimenet
divintseg,https://github.com/vengroff/divintseg
FODA Card Game,https://github.com/rafaelcastrocouto/foda
format_parser,https://rubygems.org/gems/format_parser
Functional Programming for Mortals with Cats in Scala (book),https://leanpub.com/fpmortals-cats
ghost_adapter,https://github.com/wetransfer/ghost_adapter
Gryphon,https://github.com/vinivendra/Gryphon
Honeycomb Serilog Sink,https://github.com/evilpilaf/HoneycombSerilogSink
Initiative Solidaires,http://initiativessolidaires.fr
Launchlet,https://github.com/launchlet/launchlet
leisure,https://leisure.tdreyno.com
libhoney-kotlin,https://github.com/imavroukakis/libhoney-kotlin
NLPIA-bot Chatbot,https://github.com/nlpia/nlpia-bot
Pangolin,https://pangolinjs.org
pearlOS,https://github.com/callmesalmon/pearlOS
postgres-mitm,https://github.com/thusoy/postgres-mitm
rack-read_only,https://rubygems.org/gems/rack-read_only
react-leaflet,https://github.com/PaulLeCam/react-leaflet
suo,https://github.com/dieseltravis/suo
TidyBlocks,http://tidyblocks.tech
The Trans Dimension,https://github.com/geeksforsocialchange/the-trans-dimension
VCR,https://github.com/vcr/vcr
WeTransfer,https://github.com/wetransfer
zip_tricks,https://github.com/wetransfer/zip_tricks
[![Hippocratic License HL3-FULL](https://img.shields.io/static/v1?label=Hippocratic%20License&message=HL3-FULL&labelColor=5e2751&color=bc8c3d)](https://firstdonoharm.dev/version/3/0/full.html)
